ensembl_gene_id	gene_biotype	external_gene_name
ENSMFAG00000036583	protein_coding	RNF2
ENSMFAG00000036591	protein_coding	COG2
ENSMFAG00000036678	protein_coding	ARPC5
ENSMFAG00000036716	protein_coding	RGS1
ENSMFAG00000036719	protein_coding	MR1
ENSMFAG00000036802	protein_coding	XPR1
ENSMFAG00000037122	protein_coding	SFT2D2
ENSMFAG00000037136	protein_coding	SOAT1
ENSMFAG00000037248	protein_coding	CRB1
ENSMFAG00000037274	protein_coding	CACNA1S
ENSMFAG00000037285	protein_coding	LHX9
ENSMFAG00000037305	protein_coding	NTPCR
ENSMFAG00000037308	protein_coding	HNRNPU
ENSMFAG00000037311	protein_coding	ZNF670
ENSMFAG00000037321	protein_coding	TSEN15
ENSMFAG00000037335	protein_coding	
ENSMFAG00000037345	protein_coding	C1orf100
ENSMFAG00000037358	protein_coding	NME7
ENSMFAG00000037391	protein_coding	POGK
ENSMFAG00000037418	snRNA	RF00026
ENSMFAG00000037495	protein_coding	HMCN1
ENSMFAG00000037566	protein_coding	TAF5L
ENSMFAG00000037570	protein_coding	CEP350
ENSMFAG00000037592	protein_coding	TRMT1L
ENSMFAG00000037639	protein_coding	GPR161
ENSMFAG00000037711	protein_coding	FAM163A
ENSMFAG00000038069	protein_coding	TBX19
ENSMFAG00000038113	protein_coding	
ENSMFAG00000038133	protein_coding	TTC13
ENSMFAG00000038280	protein_coding	F13B
ENSMFAG00000038286	protein_coding	TNR
ENSMFAG00000038305	protein_coding	
ENSMFAG00000038349	protein_coding	UCHL5
ENSMFAG00000038351	protein_coding	
ENSMFAG00000038424	protein_coding	NLRP3
ENSMFAG00000038481	protein_coding	EDARADD
ENSMFAG00000038495	protein_coding	TSNAX
ENSMFAG00000038522	protein_coding	RBM34
ENSMFAG00000038612	protein_coding	ATP6V1G3
ENSMFAG00000038709	protein_coding	GLRX2
ENSMFAG00000038726	protein_coding	
ENSMFAG00000038798	protein_coding	PLD5
ENSMFAG00000038822	protein_coding	
ENSMFAG00000038829	protein_coding	METTL11B
ENSMFAG00000038957	misc_RNA	RF00019
ENSMFAG00000039056	protein_coding	ZNF692
ENSMFAG00000039080	protein_coding	C1orf112
ENSMFAG00000039084	protein_coding	RCSD1
ENSMFAG00000039110	protein_coding	
ENSMFAG00000039162	protein_coding	COX20
ENSMFAG00000039185	protein_coding	OR2T11
ENSMFAG00000039338	protein_coding	FASLG
ENSMFAG00000039366	protein_coding	FAM89A
ENSMFAG00000039392	protein_coding	MYOCOS
ENSMFAG00000039417	protein_coding	RYR2
ENSMFAG00000039471	protein_coding	FMO3
ENSMFAG00000039476	protein_coding	CACNA1E
ENSMFAG00000039495	protein_coding	
ENSMFAG00000039610	protein_coding	
ENSMFAG00000039625	protein_coding	IVNS1ABP
ENSMFAG00000039626	protein_coding	
ENSMFAG00000039661	protein_coding	ATP1B1
ENSMFAG00000039676	protein_coding	SIPA1L2
ENSMFAG00000039800	protein_coding	
ENSMFAG00000039846	protein_coding	EXOC8
ENSMFAG00000039872	protein_coding	OR2AJ1
ENSMFAG00000039896	protein_coding	
ENSMFAG00000039905	protein_coding	URB2
ENSMFAG00000039907	protein_coding	KIF21B
ENSMFAG00000039962	protein_coding	EGLN1
ENSMFAG00000039984	protein_coding	QSOX1
ENSMFAG00000039985	protein_coding	C1orf198
ENSMFAG00000039988	protein_coding	SLC19A2
ENSMFAG00000040506	protein_coding	GLUL
ENSMFAG00000040538	protein_coding	SEC16B
ENSMFAG00000040545	protein_coding	MGST3
ENSMFAG00000040566	protein_coding	
ENSMFAG00000040572	protein_coding	
ENSMFAG00000040580	protein_coding	PAPPA2
ENSMFAG00000040593	protein_coding	MAEL
ENSMFAG00000040643	protein_coding	
ENSMFAG00000040697	protein_coding	
ENSMFAG00000040708	protein_coding	DENND1B
ENSMFAG00000040713	snRNA	RF00026
ENSMFAG00000040714	snRNA	RF00026
ENSMFAG00000040764	pseudogene	
ENSMFAG00000040765	protein_coding	LHX4
ENSMFAG00000040809	pseudogene	
ENSMFAG00000040832	protein_coding	GNG4
ENSMFAG00000040960	protein_coding	CLEC20A
ENSMFAG00000041032	protein_coding	ZNF124
ENSMFAG00000041045	protein_coding	RGS16
ENSMFAG00000041050	protein_coding	
ENSMFAG00000041068	protein_coding	TARBP1
ENSMFAG00000041080	protein_coding	
ENSMFAG00000041101	protein_coding	LMX1A
ENSMFAG00000041127	pseudogene	
ENSMFAG00000041145	protein_coding	
ENSMFAG00000041152	protein_coding	DHX9
ENSMFAG00000041239	protein_coding	IRF2BP2
ENSMFAG00000041250	protein_coding	GCSAML
ENSMFAG00000041258	protein_coding	CAMSAP2
ENSMFAG00000041317	protein_coding	
ENSMFAG00000041326	protein_coding	CCDC181
ENSMFAG00000041376	protein_coding	TOR3A
ENSMFAG00000041435	protein_coding	KCNK1
ENSMFAG00000041445	protein_coding	
ENSMFAG00000041458	protein_coding	TEX50
ENSMFAG00000041576	protein_coding	
ENSMFAG00000041602	protein_coding	
ENSMFAG00000041678	protein_coding	MYOC
ENSMFAG00000041700	protein_coding	ACTN2
ENSMFAG00000041944	protein_coding	TMEM9
ENSMFAG00000041946	pseudogene	
ENSMFAG00000042077	protein_coding	OPN3
ENSMFAG00000042168	protein_coding	CDC73
ENSMFAG00000042183	protein_coding	NEK7
ENSMFAG00000042336	protein_coding	RGS5
ENSMFAG00000042390	protein_coding	ZBTB41
ENSMFAG00000042415	protein_coding	BLZF1
ENSMFAG00000042435	protein_coding	DISC1
ENSMFAG00000042617	protein_coding	SELL
ENSMFAG00000042645	protein_coding	
ENSMFAG00000042697	snRNA	RF00026
ENSMFAG00000042726	snRNA	RF00026
ENSMFAG00000042758	protein_coding	
ENSMFAG00000042897	protein_coding	TOR1AIP2
ENSMFAG00000042957	protein_coding	CAPN9
ENSMFAG00000042963	protein_coding	AXDND1
ENSMFAG00000042980	protein_coding	RGS21
ENSMFAG00000043160	protein_coding	
ENSMFAG00000043317	protein_coding	DCAF6
ENSMFAG00000043385	protein_coding	GALNT2
ENSMFAG00000043508	protein_coding	SLC9C2
ENSMFAG00000043776	protein_coding	
ENSMFAG00000043784	protein_coding	PLA2G4A
ENSMFAG00000043841	protein_coding	NMNAT2
ENSMFAG00000044016	protein_coding	ARID4B
ENSMFAG00000044095	protein_coding	MRPS14
ENSMFAG00000044188	protein_coding	
ENSMFAG00000044230	protein_coding	
ENSMFAG00000044318	protein_coding	RHOU
ENSMFAG00000044331	pseudogene	
ENSMFAG00000044341	protein_coding	NUP133
ENSMFAG00000044420	protein_coding	KMO
ENSMFAG00000044431	protein_coding	LYST
ENSMFAG00000044545	protein_coding	
ENSMFAG00000044554	protein_coding	ASPM
ENSMFAG00000044637	protein_coding	PGBD2
ENSMFAG00000044660	protein_coding	
ENSMFAG00000044672	protein_coding	HEATR1
ENSMFAG00000044747	protein_coding	
ENSMFAG00000044751	protein_coding	
ENSMFAG00000044827	protein_coding	PTPRC
ENSMFAG00000044860	protein_coding	
ENSMFAG00000044965	protein_coding	RNASEL
ENSMFAG00000044986	protein_coding	SCCPDH
ENSMFAG00000045020	protein_coding	PRG4
ENSMFAG00000045128	protein_coding	DPT
ENSMFAG00000045158	protein_coding	EEF1AKNMT
ENSMFAG00000045183	protein_coding	FMO2
ENSMFAG00000045247	protein_coding	SDCCAG8
ENSMFAG00000045348	protein_coding	CREG1
ENSMFAG00000045389	protein_coding	ERO1B
ENSMFAG00000045417	protein_coding	MPZL1
ENSMFAG00000045521	protein_coding	ASCL5
ENSMFAG00000045526	protein_coding	CENPL
ENSMFAG00000045537	protein_coding	FH
ENSMFAG00000045557	protein_coding	TIPRL
ENSMFAG00000045576	protein_coding	KIF14
ENSMFAG00000045587	protein_coding	TDRD5
ENSMFAG00000045604	protein_coding	SLC35F3
ENSMFAG00000045636	protein_coding	FMO1
ENSMFAG00000045694	snRNA	RF00026
ENSMFAG00000045708	protein_coding	BRINP3
ENSMFAG00000045747	protein_coding	F5
ENSMFAG00000045761	protein_coding	SMYD3
ENSMFAG00000045763	protein_coding	AHCTF1
ENSMFAG00000045835	protein_coding	C1orf21
ENSMFAG00000045925	protein_coding	
ENSMFAG00000046254	protein_coding	TEX35
ENSMFAG00000046294	protein_coding	MPC2
ENSMFAG00000046345	protein_coding	SUCO
ENSMFAG00000046517	lincRNA	
ENSMFAG00000046571	lincRNA	
